# phrase | persian | simpleEnglish | section | example
a significant increase|افزایش قابل توجه|a large, noticeable rise|Writing Task 1|There was a significant increase in car ownership.
a sharp decline|کاهش شدید|a sudden, large fall|Writing Task 1|The graph shows a sharp decline in sales.
a steady rise|افزایش پیوسته|a slow, continuous increase|Writing Task 1|There was a steady rise in temperatures.
a gradual decrease|کاهش تدریجی|a slow fall over time|Writing Task 1|Crime rates saw a gradual decrease.
a dramatic fall|افت چشمگیر|a sudden very large drop|Writing Task 1|Prices experienced a dramatic fall.
a slight fluctuation|نوسان جزئی|a small irregular change|Writing Task 1|There was a slight fluctuation in demand.
reach a peak|به اوج رسیدن|to arrive at the highest point|Writing Task 1|Numbers reached a peak in July.
the lowest point|پایین‌ترین نقطه|the minimum level|Writing Task 1|Sales hit the lowest point in winter.
remain stable|ثابت ماندن|to stay at the same level|Writing Task 1|Prices remained stable throughout the year.
level off|تثبیت شدن|to stop rising or falling|Writing Task 1|The figures levelled off after 2010.
the graph illustrates|نمودار نشان می‌دهد|the graph shows clearly|Writing Task 1|The graph illustrates changes in population.
the chart shows|نمودار نشان می‌دهد|the chart presents|Writing Task 1|The chart shows energy consumption by source.
the table provides information about|جدول اطلاعاتی درباره ... ارائه می‌دهد|the table gives details on|Writing Task 1|The table provides information about housing costs.
the data reveals|داده‌ها آشکار می‌کنند|the data clearly shows|Writing Task 1|The data reveals a clear seasonal pattern.
compared with|در مقایسه با|when looked at next to|Writing Task 1|Compared with 2000, prices doubled.
in comparison|در مقایسه|when compared|Writing Task 1|In comparison, rural areas grew slowly.
the figure for|رقم مربوط به|the number for|Writing Task 1|The figure for imports rose sharply.
accounted for|تشکیل می‌داد / شامل می‌شد|made up a part of a total|Writing Task 1|Coal accounted for 40 percent of energy.
the proportion of|نسبت / سهم ...|the share of|Writing Task 1|The proportion of young people rose.
overall the trend was upward|به طور کلی روند صعودی بود|in general it increased|Writing Task 1|Overall, the trend was upward.
it is widely believed that|به طور گسترده اعتقاد بر این است که|many people think that|Writing Task 2|It is widely believed that exercise improves mood.
it is often argued that|اغلب استدلال می‌شود که|people frequently claim that|Writing Task 2|It is often argued that tourism harms the environment.
there is no doubt that|شکی نیست که|it is certain that|Writing Task 2|There is no doubt that education matters.
this can be attributed to|این را می‌توان به ... نسبت داد|this is caused by|Writing Task 2|This can be attributed to better healthcare.
as a result|در نتیجه|because of this|Writing Task 2|As a result, pollution increased.
due to the fact that|به دلیل اینکه|because|Writing Task 2|Costs rose due to the fact that demand grew.
on the one hand|از یک سو|looking at one side|Writing Task 2|On the one hand, cars are convenient.
on the other hand|از سوی دیگر|looking at the other side|Writing Task 2|On the other hand, they cause pollution.
in contrast|در مقابل|showing a difference|Writing Task 2|In contrast, public transport is cheaper.
to some extent|تا حدی|partly but not completely|Writing Task 2|I agree with this to some extent.
to a large extent|تا حد زیادی|mostly|Writing Task 2|This is true to a large extent.
play a vital role|نقش حیاتی ایفا کردن|to be very important|Writing Task 2|Parents play a vital role in education.
a wide range of|طیف گسترده‌ای از|many different|Writing Task 2|The city offers a wide range of services.
a growing number of|تعداد رو به افزایشی از|an increasing amount of|Writing Task 2|A growing number of people work from home.
the vast majority of|اکثریت قریب به اتفاق|almost all of|Writing Task 2|The vast majority of students passed.
in terms of|از نظر / از حیث|regarding|Writing Task 2|In terms of cost, this is the best option.
with regard to|در مورد / در خصوص|concerning|Writing Task 2|With regard to safety, more is needed.
take into account|در نظر گرفتن|to consider|Writing Task 2|We must take into account the cost.
