# word | pos | persian | simpleEnglish | difficulty | sections | collocations | example
significant|adjective|قابل توجه / مهم|important or large enough to be noticed|B2-C1|W1,W2,R|significant increase,significant impact,statistically significant|There was a significant increase in urban population after 2010.
substantial|adjective|چشمگیر / قابل ملاحظه|large in amount, value or importance|C1|W1,W2,R|substantial amount,substantial evidence,substantial growth|The company made a substantial investment in renewable energy.
considerable|adjective|قابل توجه|large in size, amount or degree|B2-C1|W1,W2,R|considerable attention,considerable difference,considerable extent|A considerable proportion of students study abroad.
marginal|adjective|جزئی / حاشیه‌ای|very small and not important|C1|W1,R|marginal increase,marginal difference,marginal improvement|There was only a marginal rise in sales last quarter.
gradual|adjective|تدریجی|happening slowly over a long time|B1-B2|W1|gradual decline,gradual increase,gradual change|The chart shows a gradual rise in temperature.
steady|adjective|ثابت / پیوسته|developing slowly and steadily|B1-B2|W1|steady growth,steady increase,steady decline|Unemployment showed a steady decrease over the decade.
dramatic|adjective|چشمگیر / شدید|sudden and very great|B2|W1|dramatic increase,dramatic fall,dramatic change|There was a dramatic drop in oil prices in 2014.
fluctuate|verb|نوسان داشتن|to change frequently in level or amount|C1|W1|prices fluctuate,fluctuate wildly,fluctuate between|The figures fluctuated between 20 and 40 percent.
peak|noun|اوج|the highest level or value|B2|W1|reach a peak,peak season,at its peak|Visitor numbers reached a peak in August.
plateau|noun|ثبات / فلات|a period when a level stays the same|C1|W1|reach a plateau,plateau phase|Sales hit a plateau after the initial growth.
surge|noun|افزایش ناگهانی|a sudden large increase|C1|W1,R|a surge in demand,price surge,sudden surge|There was a surge in online shopping during the pandemic.
decline|verb|کاهش یافتن / افول|to become less or worse|B2|W1,W2,R|sharp decline,decline steadily,gradual decline|The birth rate declined sharply after 1990.
proportion|noun|نسبت / سهم|a part of a total amount|B2|W1,R|a large proportion,proportion of,in proportion to|A large proportion of income is spent on housing.
percentage|noun|درصد|an amount expressed as parts per hundred|B1|W1|a high percentage,percentage of,small percentage|The percentage of graduates rose to 60.
ratio|noun|نسبت|a relationship between two amounts|B2|W1,R|the ratio of,a high ratio,in a ratio|The ratio of teachers to students improved.
approximately|adverb|تقریباً|close to a particular number|B1-B2|W1,R|approximately equal,approximately half|Approximately half of the respondents agreed.
respectively|adverb|به ترتیب|in the order already mentioned|C1|W1,R|respectively higher,A and B respectively|Imports and exports rose by 5 and 8 percent respectively.
overall|adjective|کلی|considering everything; in general|B1-B2|W1,W2|overall trend,overall increase,overall picture|The overall trend was upward throughout the period.
trend|noun|روند|a general direction of change|B1-B2|W1,W2,R|an upward trend,a downward trend,follow a trend|The graph illustrates an upward trend in car ownership.
figure|noun|رقم / عدد|a number representing an amount|B1|W1,R|the figure rose,latest figures,a figure of|The figure for unemployment fell to 4 percent.
analyse|verb|تحلیل کردن|to examine something in detail|B2|R,W2|analyse data,carefully analyse,analyse results|Researchers analysed the survey results in depth.
analysis|noun|تحلیل|the detailed study of something|B2|R,W2|careful analysis,data analysis,detailed analysis|A careful analysis revealed several patterns.
approach|noun|رویکرد|a way of dealing with something|B2|W2,R|a new approach,practical approach,approach to|We need a different approach to this problem.
assess|verb|ارزیابی کردن|to judge the quality or value|B2|W2,R|assess the impact,assess risk,carefully assess|It is hard to assess the long-term effects.
assessment|noun|ارزیابی|the act of judging value or quality|B2|R,W2|risk assessment,initial assessment,careful assessment|The assessment showed clear improvement.
concept|noun|مفهوم|an abstract idea|B2|R,W2|a key concept,abstract concept,grasp a concept|The concept of sustainability is widely discussed.
context|noun|بافت / زمینه|the situation in which something happens|B2|R,W2|in this context,social context,historical context|The word changes meaning depending on context.
