# template | category | section | notes | example
The graph shows that [X] increased steadily from [number] to [number] between [year] and [year].|Writing Task 1 trend description|Writing Task 1|Use for describing a clear upward trend with figures.|The graph shows that car ownership increased steadily from 30% to 60% between 2000 and 2020.
There was a [adjective] increase in [X] over the period.|Writing Task 1 trend description|Writing Task 1|Noun-based trend sentence; vary the adjective (sharp, gradual, dramatic).|There was a dramatic increase in tourism over the period.
[X] rose sharply before levelling off at around [number].|Writing Task 1 trend description|Writing Task 1|Combines a rise with a plateau.|Sales rose sharply before levelling off at around 50%.
[X] reached a peak of [number] in [year] before declining.|Writing Task 1 trend description|Writing Task 1|Describes a peak followed by a fall.|Visitor numbers reached a peak of 5 million in 2015 before declining.
While [X] increased, [Y] showed the opposite trend.|Writing Task 1 comparison|Writing Task 1|Contrast two opposite movements.|While imports increased, exports showed the opposite trend.
[X] was significantly higher than [Y] throughout the period.|Writing Task 1 comparison|Writing Task 1|Compare two consistently different values.|Spending on health was significantly higher than on defence throughout the period.
Compared with [X], [Y] experienced a far greater increase.|Writing Task 1 comparison|Writing Task 1|Direct comparison of magnitude.|Compared with rural areas, cities experienced a far greater increase.
[X] accounted for the largest proportion, followed by [Y] and [Z].|Writing Task 1 comparison|Writing Task 1|Useful for pie charts and proportions.|Coal accounted for the largest proportion, followed by gas and oil.
In my opinion, [statement], although there are valid arguments on both sides.|Writing Task 2 opinion|Writing Task 2|Balanced opinion introduction.|In my opinion, online learning is effective, although there are valid arguments on both sides.
I firmly believe that [statement] for two main reasons.|Writing Task 2 opinion|Writing Task 2|Strong opinion with signposting.|I firmly believe that public transport should be free for two main reasons.
While some people argue that [X], I would contend that [Y].|Writing Task 2 opinion|Writing Task 2|Concede then state your view.|While some argue that exams are essential, I would contend that they cause stress.
It could be argued that [X]; however, I am convinced that [Y].|Writing Task 2 opinion|Writing Task 2|Acknowledge counter-argument, then assert.|It could be argued that tourism harms culture; however, I am convinced that it brings benefits.
One major cause of [problem] is [cause], which leads to [effect].|Writing Task 2 cause/effect|Writing Task 2|Link cause and effect clearly.|One major cause of obesity is poor diet, which leads to serious illness.
[X] can be largely attributed to [Y].|Writing Task 2 cause/effect|Writing Task 2|Attribute a result to a cause.|Rising sea levels can be largely attributed to global warming.
As a direct consequence of [X], [Y] has occurred.|Writing Task 2 cause/effect|Writing Task 2|Emphasise a direct result.|As a direct consequence of deforestation, flooding has increased.
If [condition], then [result] is likely to follow.|Writing Task 2 cause/effect|Writing Task 2|Conditional cause-effect.|If governments invest in education, then economic growth is likely to follow.
One of the main advantages of [X] is that [benefit].|Writing Task 2 advantage/disadvantage|Writing Task 2|Introduce an advantage.|One of the main advantages of remote work is that it saves commuting time.
Despite these benefits, [X] has a number of drawbacks.|Writing Task 2 advantage/disadvantage|Writing Task 2|Transition from pros to cons.|Despite these benefits, social media has a number of drawbacks.
On balance, the advantages of [X] outweigh the disadvantages.|Writing Task 2 advantage/disadvantage|Writing Task 2|Conclusion for advantage/disadvantage essays.|On balance, the advantages of tourism outweigh the disadvantages.
A further drawback worth considering is that [disadvantage].|Writing Task 2 advantage/disadvantage|Writing Task 2|Add an extra disadvantage.|A further drawback worth considering is that screens harm eyesight.
To be honest, I'd say [opinion], but it really depends on [factor].|Speaking fluency phrases|Speaking|Natural spoken hedging.|To be honest, I'd say weekends are best, but it really depends on the weather.
Well, that's an interesting question. I suppose [answer].|Speaking fluency phrases|Speaking|Buys thinking time politely.|Well, that's an interesting question. I suppose I'd choose summer.
Off the top of my head, I can think of a couple of examples.|Speaking fluency phrases|Speaking|Spontaneous, fluent filler.|Off the top of my head, I can think of a couple of examples.
It's difficult to say for sure, but generally speaking [answer].|Speaking fluency phrases|Speaking|Hedged generalisation.|It's difficult to say for sure, but generally speaking I prefer cities.
When I was younger, I used to [activity], and it had a big impact on me.|Speaking personal experience phrases|Speaking|Past habit linked to present.|When I was younger, I used to play football, and it had a big impact on me.
I remember a time when [event], which taught me [lesson].|Speaking personal experience phrases|Speaking|Anecdote with a takeaway.|I remember a time when I got lost abroad, which taught me to stay calm.
